standard_number,doc_no,part,section,edition_year,title,status,scope,ics_code,technical_committee,department,product_category,certification_scheme,has_mandatory_certification,publication_date,reaffirmation_date,withdrawal_date,amendments_count,amendments_summary,supersedes,superseded_by,related_standards,labs_count,source_url,document_url,source_system,last_checked,crawl_timestamp
IS 1,1,,,1968,Specification for the national flag of India (Cotton khadi) (second revision),,BIS-recognized laboratories test this standard for: Specification for the national flag of India (Cotton khadi) (second revision). Total 4 NABL/BIS-recognized labs are authorized to test for IS 1.,,,,,,,,,,0,,,,,4,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=1,,LIMS,2026-09-17,2026-09-17T06:08:40.855722+00:00
IS 10,10,,,,Plywood tea - Chests - Specification: Part 1 general (Fifth Revision); Plywood Tea-Chests: Part-3 Battens; Plywood tea - Chests - specification: Part 4 metal fittings; Plywood tea - Chests - Specification: Part 2 plywood (Sixth Revision),,"BIS-recognized laboratories test this standard for: Plywood tea - Chests - Specification: Part 1 general (Fifth Revision), Plywood Tea-Chests: Part-3 Battens, Plywood tea - Chests - specification: Part 4 metal fittings, Plywood tea - Chests - Specification: Part 2 plywood (Sixth Revision). Total 5 NABL/BIS-recognized labs are authorized to test for IS 10.",,,,,,,,,,0,,,,,5,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=10,,LIMS,2026-09-17,2026-09-17T06:08:40.856641+00:00
IS 21,21,,,2025,Wrought Aluminium and Aluminium Alloys for Manufacture of Utensils - Specification (Fifth Revision); Wrought aluminium and aluminium alloys for manufacture of utensils specification (Fourth Revision),,"BIS-recognized laboratories test this standard for: Wrought Aluminium and Aluminium Alloys for Manufacture of Utensils - Specification (Fifth Revision), Wrought aluminium and aluminium alloys for manufacture of utensils specification (Fourth Revision). Total 34 NABL/BIS-recognized labs are authorized to test for IS 21.",,,,,,,,,,0,,,,,34,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=21,,LIMS,2026-09-17,2026-09-17T06:08:40.857322+00:00
IS 26,26,,,2024,Tin ingot - Specification (fifth revision),,BIS-recognized laboratories test this standard for: Tin ingot - Specification (fifth revision). Total 3 NABL/BIS-recognized labs are authorized to test for IS 26.,,,,,,,,,,0,,,,,3,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=26,,LIMS,2026-09-17,2026-09-17T06:08:40.859555+00:00
IS 27,27,,,2023,Primary Lead - Specification (Fifth Revision).,,BIS-recognized laboratories test this standard for: Primary Lead - Specification (Fifth Revision).. Total 2 NABL/BIS-recognized labs are authorized to test for IS 27.,,,,,,,,,,0,,,,,2,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=27,,LIMS,2026-09-17,2026-09-17T06:08:40.860004+00:00
IS 44,44,,,1991,Iron oxide pigments for paints - Specification (Second Revision),,BIS-recognized laboratories test this standard for: Iron oxide pigments for paints - Specification (Second Revision). Total 3 NABL/BIS-recognized labs are authorized to test for IS 44.,,,,,,,,,,0,,,,,3,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=44,,LIMS,2026-09-17,2026-09-17T06:08:40.860239+00:00
IS 55,55,,,1970,Specification for ultramarine blue for paints (First Revision),,BIS-recognized laboratories test this standard for: Specification for ultramarine blue for paints (First Revision). Total 1 NABL/BIS-recognized labs are authorized to test for IS 55.,,,,,,,,,,0,,,,,1,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=55,,LIMS,2026-09-17,2026-09-17T06:08:40.860519+00:00
IS 64,64,,,2023,Barium sulphate pigments for paints - Specification (Second Revision),,BIS-recognized laboratories test this standard for: Barium sulphate pigments for paints - Specification (Second Revision). Total 1 NABL/BIS-recognized labs are authorized to test for IS 64.,,,,,,,,,,0,,,,,1,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=64,,LIMS,2026-09-17,2026-09-17T06:08:40.860755+00:00
IS 73,73,,,2013,Paving bitumen - Specification (Fourth Revision),,BIS-recognized laboratories test this standard for: Paving bitumen - Specification (Fourth Revision). Total 8 NABL/BIS-recognized labs are authorized to test for IS 73.,,,,,,,,,,0,,,,,8,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=73,,LIMS,2026-09-17,2026-09-17T06:08:40.861130+00:00
IS 75,75,,,1973,"Specification for linseed oil, raw and refined (Second Revision)",,"BIS-recognized laboratories test this standard for: Specification for linseed oil, raw and refined (Second Revision). Total 1 NABL/BIS-recognized labs are authorized to test for IS 75.",,,,,,,,,,0,,,,,1,https://lims.bis.gov.in/home/search_is_number/?is_number__doc_no=75,,LIMS,2026-09-17,2026-09-17T06:08:40.861727+00:00
